Territorio;Grupos;Medida;Valor;
España;Grupo 6. Sanidad;Variación en lo que va de año;1,7;
España;Grupo 6. Sanidad;Variación anual;2;
España;Grupo 7. Transporte;Índice;113,944;
España;Grupo 7. Transporte;Variación mensual;0,2;
España;Grupo 7. Transporte;Variación en lo que va de año;1,9;
España;Grupo 7. Transporte;Variación anual;1,2;
España;Grupo 8. Comunicaciones;Índice;102,691;
España;Grupo 8. Comunicaciones;Variación mensual;0,1;
España;Grupo 8. Comunicaciones;Variación en lo que va de año;1,9;
España;Grupo 8. Comunicaciones;Variación anual;0,8;
España;Grupo 9. Ocio y cultura;Índice;115,551;
España;Grupo 9. Ocio y cultura;Variación mensual;1,5;
España;Grupo 9. Ocio y cultura;Variación en lo que va de año;3,4;
España;Grupo 9. Ocio y cultura;Variación anual;0,7;
España;Grupo 10. Enseñanza;Índice;108,099;
España;Grupo 10. Enseñanza;Variación mensual;0;
España;Grupo 10. Enseñanza;Variación en lo que va de año;0,2;
España;Grupo 10. Enseñanza;Variación anual;2,6;
España;Grupo 11. Restaurantes y hoteles;Índice;125,93;
España;Grupo 11. Restaurantes y hoteles;Variación mensual;0,3;
España;Grupo 11. Restaurantes y hoteles;Variación en lo que va de año;4,8;
España;Grupo 11. Restaurantes y hoteles;Variación anual;4,3;
España;Grupo 12. Otros bienes y servicios;Índice;116,322;
España;Grupo 12. Otros bienes y servicios;Variación mensual;0,2;
España;Grupo 12. Otros bienes y servicios;Variación en lo que va de año;2,8;
España;Grupo 12. Otros bienes y servicios;Variación anual;3,4;
España;Índice general;Índice;118,824;
España;Índice general;Variación mensual;0;
España;Índice general;Variación en lo que va de año;2;
España;Índice general;Variación anual;2,7;
